sgRNA	Gene	Rep_1_T0	Rep_1_UN	Rep_1_L20	Rep_1_LM	Rep_1_UM	Rep_1_T20	Rep_2_T0	Rep_2_UN	Rep_2_L20	Rep_2_LM	Rep_2_UM	Rep_2_T20
MS4A4A_gRNA3	MS4A4A	76649.43339640813	77995.46257080999	91135.15186667442	95133.61513197795	86585.02802716037	88263.98752808872	75525.04300659473	79744.01513414385	79989.17234660758	79450.19818171837	79347.40340445864	82785.62481627872
CHI3L1_gRNA3	CHI3L1	292016.26192485326	290989.2017808371	274614.6914055283	267983.3405525443	264037.73597428406	287063.2446357086	282918.7033225238	281948.86538709165	283233.13033717277	280044.4819048898	281203.6272077623	301723.2621739897
CXCR4_gRNA3	CXCR4	210760.53337166877	211675.3354149532	236813.99737559533	275267.2296339311	224665.37270863974	221964.09879230356	236586.60936533433	245039.12739770647	239882.84852064983	242425.48144422256	246587.2380463531	260127.2782389779
Intergenic_gRNA5	Intergenic	66006.66183891862	64769.110259102046	71125.61994023899	65634.78792240532	72576.48766656226	68699.68285887706	66850.85262996402	67180.79728999722	69202.4030039806	67520.35090734252	65938.12850693463	69574.96064675257
ASCL1_gRNA2	ASCL1	64850.161353227	75624.35480055578	67644.3232070224	67036.30546437546	68121.3458726204	58410.89222134736	89402.83788813655	88229.12037966696	89568.00414903458	89207.31091526341	87601.57935110207	86013.79463214037
Intergenic_gRNA8	Intergenic	194078.84974328752	186266.098637166	198047.51034051666	193110.28671647524	206794.32954074958	189276.06632277503	216686.46101831846	223685.41569178036	223022.52406935376	220633.51939529498	219247.16073098252	248560.04597570858
MAPT_gRNA3	MAPT	116984.79582701174	121966.5274292258	117380.61451622064	111568.030972836	107916.76331684749	97706.71280675546	117162.97625655666	114097.88531978337	118507.70400233055	113923.17595222354	110293.04117282838	120065.34253595659
INPP5D_gRNA3	INPP5D	94976.96579180945	91569.136312403	97724.49512281352	83984.58541589913	92840.05654740722	85434.3493132694	83334.99836929787	85165.83764429537	94162.68245615042	90693.493649512	82551.78884182508	72152.98157662251
CSF1R_gRNA1	CSF1R	127211.06778396784	123273.76195135344	132505.11841595915	136068.8049602482	134385.79256740148	121651.67738670246	109430.34718457334	92452.87985681274	88715.67438936076	95265.12097334188	94506.80430768045	81611.74488323812
ABCA7_gRNA3	ABCA7	120557.70255439446	121749.15619419569	102921.75093951958	114904.94085173143	96578.91133083023	119988.98526879781	102061.60653950689	101558.15890765647	99101.6794079027	101839.86415637637	102033.85053848954	101648.97235567731
GBA_gRNA3	GBA	268486.359452614	279710.1692485589	300526.79482623877	306751.2193439184	300326.70608083316	282876.29071179713	383956.873661327	370408.20180055185	350967.9456754898	355795.37741114164	352091.2524700658	375086.24306620786
ABI3_gRNA3	ABI3	157342.9649874691	156913.8937156559	133522.44625661048	134736.55517158797	151593.02196838244	141172.0204135144	158810.00671719154	166718.6930439577	158618.00381850396	163536.64032788613	159782.99403882108	145976.48459641816
CTSB_gRNA3	CTSB	231759.11025470134	230003.89752597437	177842.83604532553	206112.10055997642	198264.43157695635	208580.13376956678	151204.7385946291	150833.7867122226	144207.421855277	153068.74454752656	152993.10689923711	148861.5202780064
CTSL_gRNA2	CTSL	124313.50596973072	138645.68863728637	142502.22962327537	127316.43950869165	140792.97533728453	127528.01442568986	106960.45448687514	109268.0468965288	107963.65108133251	108951.73316456049	109029.33987358528	103730.35177541467
LRP1_gRNA1	LRP1	170299.18036546523	177914.27479163697	168270.29425688222	173392.06627425936	160017.42874000547	167179.45329693874	174598.21584004688	188095.89618190355	183589.5724065635	178111.73132762293	171261.61417361256	175549.22906340254
VHL_gRNA2	VHL	227116.28004524665	217834.54506365687	218158.1712956222	202643.32540255773	227457.34871896877	184207.52446288295	263932.8246481365	258274.20019761712	254406.321842774	256738.06734144263	253437.30143828195	203212.16117778627
PTK2B_gRNA3	PTK2B	138290.4885771043	135618.60087515277	133941.62500231338	118499.42415404586	137133.82904501937	138886.21126605978	149630.92114821367	148432.96235980713	141763.32393515273	146401.11494360154	152220.8449941441	149037.6022679625
CSF1R_gRNA3	CSF1R	180988.67250547072	172800.25133824602	217829.7714861029	149616.80786595962	184765.73505046137	172679.56503021045	179738.13987024757	166432.09757331712	178938.44841999907	168221.34677280014	170103.22131597306	156536.8890709642
CDK2_gRNA2	CDK2	62608.90193983037	60208.610197680035	64056.722398892474	65341.29788615896	62514.87938065575	64395.95582234127	68524.7393937816	66396.18346053855	65770.50569350585	66462.25341719815	67437.52012786196	57908.40008145674
PTK2B_gRNA1	PTK2B	119836.52275697964	129463.9018943697	125955.45051435159	113743.80806847005	121899.52097643325	124415.76565258646	127888.58763993118	129536.45444314381	128030.09012530895	126341.68657128439	129634.69161402139	129226.12093649266
PLCG2_gRNA2	PLCG2	90014.17709071693	111069.18332051327	100062.53789012646	87214.51509801594	110983.08905414585	106885.27571635944	81679.30602682615	80669.57755572084	77466.05047525527	81174.65477825138	80886.91252694925	88844.65123989597
CDK2_gRNA3	CDK2	81738.65552222398	80121.9203048001	82225.44725122013	83537.4235861986	81429.57723459465	86417.20603263513	87915.44394311387	88200.93066124328	88218.9524102131	88557.10596902967	89416.89629684018	90384.23992130691
VHL_gRNA1	VHL	124976.45110742183	118161.02726022553	110304.60128628966	147070.83311096937	116516.38351436422	113101.53045461628	139801.38501612196	133764.91220669352	125597.2813410744	138659.23368937726	128717.00376576152	99806.88384536744
CHI3L1_gRNA1	CHI3L1	157593.83901586058	164321.0548223881	143413.90026979378	153099.94966850927	165264.0268276993	148682.00348524947	195799.26531329055	199498.63728427596	191678.23827154754	196313.43128212934	197448.31331903904	206526.11452721627
ADAM10_gRNA2	ADAM10	29671.99838887719	27033.93640403986	30808.344047601116	34091.792348487426	29308.757728250974	34928.30991592625	31658.293141767	31506.708624849383	31750.694689836117	31783.310104718326	30990.769957628418	30137.109819407746
ABCA7_gRNA1	ABCA7	75281.25102974367	75644.97499676417	82293.58536008952	76440.30089151397	86974.49206710026	67619.87501743331	97285.57093622307	100797.03651021751	100066.90052647372	95410.50841473576	98553.65727787561	104299.23205065743
NCKAP1L_gRNA3	NCKAP1L	192851.71482241774	216089.13137210096	211171.8588672408	189871.89097562054	220590.43497047137	190241.6523969123	199356.27468640287	196369.57853924917	193433.69890239893	203776.653273682	194524.7503926155	163390.54191079354
MS4A4A_gRNA1	MS4A4A	105210.76618386293	113404.42054111332	107517.19200352157	112064.44987155689	119892.82793707859	120759.09904012192	117354.01768068802	118161.90305919506	119032.6488212025	120655.42219676806	125071.32581119909	132106.64169526153
ABCA7_gRNA2	ABCA7	165826.6256439479	154963.3520305686	142247.35859579555	150755.87758705564	154027.12682592755	164055.42908390684	144577.42061940578	150161.93175645857	146674.0980471807	149094.8211494271	150711.42399782597	164564.42184383416
Intergenic_gRNA7	Intergenic	360370.2455422166	361590.6056612556	339037.3326992036	363914.8175837584	366389.2488071233	389757.64128151373	321859.3136079645	335767.73614427174	336534.7854404834	333648.0238388068	329745.8040993227	347364.6169551721
LRRK2_gRNA1	LRRK2	89074.22982635527	91693.71666449535	98240.70598557725	85829.41657905257	94770.49089362679	102151.15635043685	80173.71766045764	82788.50472389965	81276.1338380356	85608.97174076481	83820.50482876359	79376.8580876416
WASF2_gRNA3	WASF2	110716.93075933555	112967.53013394808	99350.10652397301	107531.2602382762	103211.60195041275	99634.15606571929	112846.3497922554	112913.91714598944	109007.89615113157	116241.29793444823	108487.7536024811	86361.44368923317
MS4A6A_gRNA1	MS4A6A	61213.4843520784	77340.12696006215	64875.24221303247	57725.94977782255	71125.39367719178	68067.34173471644	55747.70700366327	54946.459494126684	56569.85994338446	60024.82059548011	61841.128659785376	57095.7139739671
ABI3_gRNA2	ABI3	50715.30303337055	53733.65379453542	54361.48888909888	58832.69454737393	55501.803136982766	58100.609379231304	66491.51280838362	67100.92642113016	66617.19088523481	66853.9918009539	66780.59603976338	68437.20009626706
ABI1_gRNA2	ABI1	164223.51181733343	160401.49919311018	166861.38791715863	201091.98427565064	164450.23763095777	166862.30144819772	194311.8713682679	203868.043639944	201906.1953876334	202916.44424543486	202478.0450775344	204417.64557056257
GBA_gRNA2	GBA	63508.3285094033	63888.45604603544	66137.95349638436	77829.24761899454	68924.60410697664	66363.23931972987	87164.92406259784	88313.68953493795	87558.53796066451	93286.23635436958	88875.31002573599	87336.66701822075
PLCG2_gRNA3	PLCG2	106960.24164575255	106413.95923275898	102241.01673160601	98879.97439710518	118570.64745276982	126938.45739993613	104954.51953349594	107656.53465997597	101297.41633845316	100624.26360472196	112203.63718477926	123699.85540556307
GBA_gRNA1	GBA	227537.87241069885	217945.37861827697	216091.60282915283	206325.03476459574	234605.14865384708	214835.05120225556	149962.9693377753	154968.27874769343	158634.93752233853	155891.6840345911	152752.4018898575	146653.72301932622
CTSL_gRNA1	CTSL	48304.21098115993	47669.81255329555	50628.986786158086	53829.76692775837	48615.28001025062	54351.89807799231	52586.42629482303	52122.78936535626	51156.719284263956	51253.1116313825	51581.0776349783	55380.04330260006
PLCG2_gRNA1	PLCG2	144934.11112596345	143634.70215116395	134935.6651348701	141992.48060441637	139766.93277798366	136841.99489447163	129234.97481952356	136447.63374334562	134047.19955452945	130977.93053573377	135531.96434382253	146947.19300258637
CTSL_gRNA3	CTSL	243563.0322136779	240109.94160519	256173.84537157664	287496.8363016443	242107.91464843752	257140.67423338906	202572.13865928067	207382.3618700942	203006.88613688108	210387.74331706495	208219.86248877784	199058.4321839503
CHI3L1_gRNA2	CHI3L1	85558.22921132612	83229.55570837272	87304.53951203875	83196.98540604221	90987.6965774926	70496.02621997021	78777.29582216417	77808.32113571886	75044.53082691043	79123.07643858214	76554.22235811576	76058.38981539219
TREM2_gRNA1	TREM2	86308.85847544532	92818.37653269456	69126.97395571222	84227.79219418719	102995.1725165627	122014.75345116465	75461.36253188427	77578.1051019256	60317.85305877133	68235.17249419578	87977.68092825776	133131.52917526235
MS4A6A_gRNA3	MS4A6A	124556.63013846312	128380.48241858726	142227.73654545657	127785.40785332306	140588.16627572174	125694.5784288219	113437.6684859953	114760.3437027395	114302.50088341003	118260.56795380772	113086.22221917126	107369.37956784054
MS4A6A_gRNA2	MS4A6A	85621.55663596862	85853.47567589021	95425.69645617851	99637.30183329333	80851.10057666994	90879.11647887714	86296.14044333385	89699.68402410147	88021.39253214301	88460.18100810041	86884.47901065857	95061.69996219178
Intergenic_gRNA2	Intergenic	117233.23418522463	113166.21431616432	97766.5423735399	118355.24460826749	116837.21473048253	116533.08990711426	118886.8976790753	118237.07564165816	121008.24760190341	120994.65956002046	119690.5659140251	125930.2272783402
ABI3_gRNA1	ABI3	114098.52666542064	103358.51870083885	102742.5649633472	99784.81649311994	103388.26792284235	104970.00041198838	126660.46419908677	126491.96485338801	125004.60170686412	124213.37597087948	126821.45181689686	121573.32675763182
CDK2_gRNA1	CDK2	140482.59173780636	136764.5253206919	147770.42669889927	155018.40988795878	135877.55785977733	142041.2441375701	156421.98891554962	152839.95500670673	148096.52916928538	157074.97626593578	152998.1215869325	127564.62933895827
VHL_gRNA3	VHL	78177.26287204899	78443.95183834246	78775.84767624341	79817.48868622292	77012.20165058636	75686.4438831223	89234.5394906875	91630.6797361225	85899.03498487575	86037.05698486902	82190.73132775562	66861.49203230102
NCKAP1L_gRNA2	NCKAP1L	92788.84827321772	88120.62329026045	85308.48105063362	80144.07331571734	91349.01752829932	79472.8365921325	99355.18636431273	98311.64300253107	98514.6443416373	102397.18268171958	100694.92892381531	94628.26737153063
C5AR1_gRNA2	C5AR1	51437.14710447043	55308.95086737213	52882.50379816468	50081.86837922425	57322.93335637539	55794.78198389823	44030.49965694031	43802.12414397119	43333.348112688334	43482.96059688719	42639.88947406382	47244.15238206482
LRRK2_gRNA3	LRRK2	86663.35919870634	81340.65981820009	70900.50542865781	89820.77845310923	79927.82568478445	90712.88651855312	89903.18447514724	90211.79724213138	87727.8749990103	93976.82670099052	89065.86815816154	88497.00218280319
ABI1_gRNA1	ABI1	101987.4888393841	109581.73687527272	94074.57813283785	102640.70030736334	97750.20854372175	101630.48564826488	121807.10230508311	124664.33144225374	122690.32884947163	119892.13812945018	120222.12280973846	115378.85264943296
Intergenic_gRNA1	Intergenic	148133.03176865669	147298.65326494206	153863.82802339402	146575.4404011864	143792.84707056519	145929.88691662613	141357.00804119153	146685.19981753992	144805.74605743214	142390.8446851536	144964.5918988871	168533.03900207527
Intergenic_gRNA6	Intergenic	175144.61404886362	170658.32845709962	171450.79142721015	169307.57775408606	176127.25923310913	177390.72228827246	179396.994470013	178765.0993836705	178486.8829844103	179177.90589784473	177374.51847431628	193663.09941478292
MAPT_gRNA1	MAPT	49429.49060365367	47901.78976063993	47404.07046890895	48936.64152450071	45019.50106061438	46532.61345080189	46427.61466925514	45751.91300160801	47007.96184479204	47202.45597254737	46225.39117628135	47993.62957008305
ADAM10_gRNA1	ADAM10	100021.46015616451	96904.39728761312	97321.91965047437	103161.74774059442	97061.15678075116	95210.71205657706	97153.66138146572	95516.16259218431	95218.2166618392	98084.02192036773	95043.37589108922	90181.06839443451
MAPT_gRNA2	MAPT	53653.606966958105	56247.599382274835	53937.35072407955	50738.8858467303	51620.59879304092	57692.59038570867	50484.97062937815	51474.42584161197	49418.19235724715	49710.38933659185	49138.92472731405	50183.36713748571
INPP5D_gRNA2	INPP5D	89502.68635321976	81583.16191735916	78636.12142767578	96641.59977625775	76430.63833127284	75788.69395316813	99186.88796686368	97231.03712962392	104356.77216456714	103031.23346779846	92345.4739109591	85661.6306522282
LRP1_gRNA2	LRP1	116891.79751110316	108979.45531101935	107943.48643780891	104076.082084285	102938.52320166235	109290.21306442407	121452.31108883918	125444.24698530846	126624.59270703887	125021.08397862328	125256.86925592922	118728.92538141806
C5AR1_gRNA3	C5AR1	95533.84856445246	96862.72730777533	96652.1824158277	95151.57343839163	89449.99450091872	93811.98605040302	86791.93842500806	85203.42393552692	85001.54868164303	84462.02636976862	84938.78018483982	87043.1970349606
PTK2B_gRNA2	PTK2B	42078.19515564261	40279.40535598267	42972.50586927641	36933.30951759988	38016.22950605876	40045.32733685732	34519.36589840083	37130.557450370514	35831.71731396972	35607.80752138519	36607.22017648664	32268.15339015838
Intergenic_gRNA4	Intergenic	135095.7750010831	137230.19808506468	140038.47635763694	149869.76343915798	139443.01490047653	140182.88345952012	132992.12282744018	137781.94708206577	135102.73376021822	136639.96367001778	134513.98274165447	139827.15971641318
ASCL1_gRNA3	ASCL1	126225.06421077528	131956.7976984797	135655.42781653482	135994.91935671767	132287.7706646017	118116.49406283366	127406.43547426633	129362.61784619787	127087.44727851737	129209.04999877486	131801.03669843814	130702.5006984322
ABI1_gRNA3	ABI1	139706.49864909315	143294.68370743605	145207.26942000515	146407.14541536683	148813.57417192557	147367.27561723208	123085.2604046286	126289.93853801841	120201.07438578847	126676.88539449807	124710.26829712963	126675.18954353905
CTSB_gRNA1	CTSB	40851.2816593345	49765.76958039409	53162.81880300715	47683.66483129511	50413.895758336694	49548.499873823705	71381.26354507895	74096.67487660299	72143.22290325252	71215.61504277038	73104.11722367429	79864.46975213538
CXCR4_gRNA1	CXCR4	98619.6212561236	95524.5624913351	101860.86645965427	104936.54150873455	99007.02443391475	99249.49169472152	103530.80606318371	109930.50527948492	107184.70070494188	107308.04736880185	111461.46340585871	115731.01662934513
TREM2_gRNA2	TREM2	60993.83118688481	66668.10145366837	66675.94267875509	62238.615632344765	86776.40103326604	69591.67243346116	60082.52788931039	61815.35421669301	54853.911288147094	56050.89719738064	62533.15556175184	73358.4659693988
